Rating,1 Week Change,Team,Division,Predicted Record_Wins,Predicted Record_Losses,Predicted Record_Ties,Regular Season Result_Win Division,Regular Season Result_Make Playoffs,Postseason Odds_Make Div Round,Postseason Odds_Make Conf Champ,Postseason Odds_Make Super Bowl,Postseason Odds_Win Super Bowl,Week
-2.5,-0.7,Denver,AFC West,6.0,10.0,0.0,3%,11%,5%,2%,1%,0%,2
-3.1,-0.4,NY Jets,AFC East,6.8,9.2,0.0,5%,16%,7%,2%,1%,0%,2
-3.3,-1.4,Tampa Bay,NFC South,5.9,10.1,0.0,6%,10%,5%,2%,1%,0%,2
-3.3,0.7,Oakland,AFC West,6.5,9.5,0.0,5%,14%,6%,2%,1%,0%,2
-4.8,0.6,Washington,NFC East,5.9,10.1,0.0,5%,10%,4%,1%,0%,0%,2
-4.9,0.9,Cincinnati,AFC North,5.8,10.2,0.0,5%,11%,5%,1%,0%,0%,2
-5.6,0.1,Arizona,NFC West,5.0,10.0,1.0,3%,7%,3%,1%,0%,0%,2
-6.0,-0.8,NY Giants,NFC East,5.7,10.3,0.0,4%,9%,4%,1%,0%,0%,2
-11.6,-3.9,Miami,AFC East,3.4,12.6,0.0,0%,1%,0%,0%,0%,0%,2
10.1,2.5,New England,AFC East,12.9,3.1,0.0,88%,97%,88%,62%,39%,25%,3
8.0,1.3,Kansas City,AFC West,11.5,4.5,0.0,72%,88%,72%,44%,23%,14%,3
5.6,1.4,LA Rams,NFC West,11.0,5.0,0.0,46%,75%,57%,34%,20%,9%,3
5.1,-0.2,Baltimore,AFC North,10.7,5.3,0.0,69%,80%,59%,29%,13%,7%,3
4.1,2.6,San Francisco,NFC West,10.6,5.4,0.0,38%,68%,49%,27%,15%,6%,3
3.9,-0.3,LA Chargers,AFC West,9.4,6.6,0.0,24%,58%,35%,15%,7%,3%,3
3.6,0.8,Green Bay,NFC North,10.2,5.8,0.0,49%,67%,49%,27%,14%,6%,3
3.2,-0.2,Tennessee,AFC South,9.1,6.9,0.0,34%,51%,32%,13%,5%,3%,3
3.1,0.3,Minnesota,NFC North,9.1,6.9,0.0,24%,45%,29%,15%,8%,3%,3
2.8,1.0,Dallas,NFC East,10.1,5.9,0.0,56%,68%,48%,24%,12%,5%,3
2.3,-0.3,Philadelphia,NFC East,9.2,6.8,0.0,40%,53%,35%,17%,8%,3%,3
1.5,-0.7,Houston,AFC South,7.9,8.1,0.0,23%,35%,20%,7%,3%,1%,3
1.4,0.3,Chicago,NFC North,8.3,7.7,0.0,15%,31%,19%,9%,4%,2%,3
1.2,-3.6,New Orleans,NFC South,8.3,7.7,0.0,35%,41%,26%,11%,5%,2%,3
0.9,0.4,Atlanta,NFC South,8.1,7.9,0.0,32%,38%,23%,10%,4%,2%,3
0.8,0.1,Seattle,NFC West,8.7,7.3,0.0,15%,37%,22%,10%,5%,2%,3
0.5,1.1,Indianapolis,AFC South,8.6,7.4,0.0,32%,45%,25%,9%,3%,1%,3
-0.1,2.0,Cleveland,AFC North,8.2,7.8,0.0,21%,36%,19%,6%,2%,1%,3
-0.4,-0.7,Carolina,NFC South,6.6,9.4,0.0,14%,17%,10%,4%,2%,1%,3
-0.6,0.3,Jacksonville,AFC South,6.8,9.2,0.0,11%,19%,10%,3%,1%,0%,3
-1.1,1.3,Buffalo,AFC East,9.2,6.8,0.0,12%,50%,21%,7%,2%,1%,3
-1.3,0.7,Detroit,NFC North,7.3,7.7,1.0,12%,24%,14%,6%,2%,1%,3
-1.7,1.5,Tampa Bay,NFC South,7.2,8.8,0.0,20%,24%,13%,5%,2%,1%,3
-2.3,-2.8,Pittsburgh,AFC North,6.5,9.5,0.0,8%,16%,7%,2%,1%,0%,3
-2.8,-0.3,Denver,AFC West,5.2,10.8,0.0,2%,7%,3%,1%,0%,0%,3
-4.1,-0.8,Oakland,AFC West,5.9,10.1,0.0,2%,9%,3%,1%,0%,0%,3
-4.8,0.8,Arizona,NFC West,5.1,9.9,1.0,2%,5%,2%,1%,0%,0%,3
-5.0,-1.9,NY Jets,AFC East,5.8,10.2,0.0,1%,5%,2%,0%,0%,0%,3
-5.1,-0.2,Washington,NFC East,5.5,10.5,0.0,2%,5%,2%,1%,0%,0%,3
-6.5,-1.6,Cincinnati,AFC North,5.0,11.0,0.0,3%,5%,2%,0%,0%,0%,3
-7.8,-1.8,NY Giants,NFC East,4.6,11.4,0.0,1%,2%,1%,0%,0%,0%,3
-14.5,-2.9,Miami,AFC East,2.6,13.4,0.0,0%,0%,0%,0%,0%,0%,3
10.2,0.1,New England,AFC East,13.0,3.0,0.0,88%,98%,90%,63%,40%,25%,4
8.2,0.2,Kansas City,AFC West,11.9,4.1,0.0,84%,93%,80%,51%,27%,16%,4
6.3,0.7,LA Rams,NFC West,11.7,4.3,0.0,58%,84%,67%,41%,24%,11%,4
5.2,0.1,Baltimore,AFC North,10.4,5.6,0.0,72%,79%,59%,27%,12%,6%,4
4.1,1.0,Minnesota,NFC North,9.7,6.3,0.0,24%,52%,34%,18%,9%,4%,4
4.1,0.5,Green Bay,NFC North,10.6,5.4,0.0,46%,69%,50%,27%,14%,6%,4
3.8,-0.3,San Francisco,NFC West,10.7,5.3,0.0,34%,69%,47%,24%,13%,5%,4
3.3,0.4,Dallas,NFC East,10.2,5.8,0.0,69%,75%,54%,27%,13%,5%,4
2.8,1.4,Houston,AFC South,9.1,6.9,0.0,37%,56%,36%,14%,6%,3%,4
2.8,-1.2,LA Chargers,AFC West,8.3,7.7,0.0,14%,40%,22%,9%,3%,2%,4
2.5,1.1,Chicago,NFC North,8.9,7.1,0.0,16%,38%,23%,11%,5%,2%,4
2.1,-1.1,Tennessee,AFC South,8.1,7.9,0.0,16%,36%,20%,8%,3%,1%,4
2.1,0.9,New Orleans,NFC South,9.1,6.9,0.0,48%,54%,35%,15%,7%,3%,4
1.1,-1.2,Philadelphia,NFC East,8.2,7.8,0.0,27%,34%,20%,8%,4%,1%,4
1.0,1.4,Carolina,NFC South,7.5,8.5,0.0,20%,26%,15%,6%,3%,1%,4
0.8,1.4,Jacksonville,AFC South,7.9,8.1,0.0,17%,32%,17%,5%,2%,1%,4
0.8,-0.2,Atlanta,NFC South,7.5,8.5,0.0,22%,27%,16%,7%,3%,1%,4
0.4,-0.1,Indianapolis,AFC South,8.8,7.2,0.0,30%,47%,26%,9%,3%,1%,4
-0.1,-0.8,Seattle,NFC West,8.0,8.0,0.0,7%,22%,12%,5%,2%,1%,4
-0.7,0.7,Detroit,NFC North,8.1,6.9,1.0,15%,32%,18%,8%,3%,1%,4
-0.8,-0.6,Cleveland,AFC North,7.6,8.4,0.0,18%,29%,14%,4%,1%,1%,4
-1.3,-0.2,Buffalo,AFC East,9.5,6.5,0.0,11%,56%,23%,7%,2%,1%,4
-2.0,0.3,Pittsburgh,AFC North,6.4,9.6,0.0,9%,16%,7%,2%,1%,0%,4
-2.6,-0.9,Tampa Bay,NFC South,6.1,9.9,0.0,9%,11%,6%,2%,1%,0%,4
-3.0,-0.2,Denver,AFC West,4.9,11.1,0.0,1%,5%,2%,1%,0%,0%,4
-5.0,-0.9,Oakland,AFC West,5.4,10.6,0.0,1%,5%,2%,0%,0%,0%,4
-5.1,-0.1,NY Jets,AFC East,5.7,10.3,0.0,0%,4%,1%,0%,0%,0%,4
-6.2,-1.4,Arizona,NFC West,4.2,10.8,1.0,0%,1%,1%,0%,0%,0%,4
-6.2,0.2,Cincinnati,AFC North,4.9,11.1,0.0,2%,4%,1%,0%,0%,0%,4
-6.3,-1.2,Washington,NFC East,4.6,11.4,0.0,1%,2%,1%,0%,0%,0%,4
-6.9,0.8,NY Giants,NFC East,5.7,10.3,0.0,3%,5%,2%,0%,0%,0%,4
-15.5,-1.0,Miami,AFC East,2.3,13.7,0.0,0%,0%,0%,0%,0%,0%,4
10.4,0.2,New England,AFC East,13.4,2.6,0.0,95%,99%,94%,69%,44%,28%,5
8.1,-0.1,Kansas City,AFC West,12.2,3.8,0.0,87%,95%,85%,55%,28%,17%,5
4.3,-2.0,LA Rams,NFC West,10.4,5.6,0.0,37%,67%,48%,26%,14%,6%,5
4.1,0.3,San Francisco,NFC West,11.0,5.0,0.0,49%,76%,57%,32%,18%,7%,5
3.7,1.6,Tennessee,AFC South,9.1,6.9,0.0,34%,53%,35%,15%,6%,3%,5
3.3,-0.8,Minnesota,NFC North,8.9,7.1,0.0,19%,38%,25%,13%,6%,3%,5
3.2,0.0,Dallas,NFC East,9.8,6.2,0.0,58%,66%,47%,24%,12%,5%,5
3.0,-2.2,Baltimore,AFC North,8.9,7.1,0.0,37%,51%,32%,12%,5%,2%,5
3.0,0.5,Chicago,NFC North,9.5,6.5,0.0,31%,51%,35%,18%,9%,4%,5
2.9,-1.2,Green Bay,NFC North,9.5,6.5,0.0,35%,52%,35%,18%,9%,4%,5
2.8,0.0,LA Chargers,AFC West,8.4,7.6,0.0,11%,39%,21%,8%,3%,2%,5
1.9,0.9,Carolina,NFC South,8.5,7.5,0.0,27%,35%,23%,11%,5%,2%,5
1.9,-0.9,Houston,AFC South,8.2,7.8,0.0,26%,40%,24%,9%,3%,2%,5
1.9,-0.2,New Orleans,NFC South,9.4,6.6,0.0,44%,54%,37%,18%,8%,3%,5
1.8,0.7,Philadelphia,NFC East,8.9,7.1,0.0,36%,48%,30%,14%,6%,2%,5
1.3,2.0,Cleveland,AFC North,9.0,7.0,0.0,44%,56%,32%,10%,4%,2%,5
1.1,0.2,Jacksonville,AFC South,8.4,7.6,0.0,25%,41%,23%,7%,3%,1%,5
1.0,1.1,Seattle,NFC West,8.8,7.2,0.0,14%,34%,20%,9%,4%,2%,5
0.1,2.7,Tampa Bay,NFC South,7.8,8.2,0.0,20%,27%,16%,6%,3%,1%,5
-0.5,0.2,Detroit,NFC North,7.8,7.2,1.0,16%,29%,17%,7%,3%,1%,5
-0.5,1.5,Pittsburgh,AFC North,7.4,8.6,0.0,18%,27%,14%,4%,1%,1%,5
-0.9,-1.6,Atlanta,NFC South,6.3,9.7,0.0,9%,12%,7%,3%,1%,0%,5
-0.9,0.4,Buffalo,AFC East,9.3,6.7,0.0,5%,53%,20%,5%,2%,1%,5
-0.9,-1.4,Indianapolis,AFC South,7.6,8.4,0.0,15%,24%,12%,4%,1%,1%,5
-3.1,-0.1,Denver,AFC West,4.3,11.7,0.0,0%,2%,1%,0%,0%,0%,5
-3.8,1.2,Oakland,AFC West,6.5,9.5,0.0,2%,11%,4%,1%,0%,0%,5
-4.8,0.3,NY Jets,AFC East,5.8,10.2,0.0,0%,6%,2%,0%,0%,0%,5
-5.0,1.9,NY Giants,NFC East,6.7,9.3,0.0,6%,10%,5%,1%,0%,0%,5
-7.6,-1.3,Cincinnati,AFC North,4.2,11.8,0.0,1%,2%,1%,0%,0%,0%,5
-7.6,-1.4,Arizona,NFC West,3.3,11.7,1.0,0%,0%,0%,0%,0%,0%,5
-7.9,-1.6,Washington,NFC East,3.7,12.3,0.0,0%,0%,0%,0%,0%,0%,5
-16.7,-1.2,Miami,AFC East,1.9,14.1,0.0,0%,0%,0%,0%,0%,0%,5
11.5,1.1,New England,AFC East,13.8,2.2,0.0,94%,100%,96%,75%,53%,34%,6
6.7,-1.4,Kansas City,AFC West,10.9,5.1,0.0,81%,88%,74%,44%,19%,11%,6
6.3,2.2,San Francisco,NFC West,12.0,4.0,0.0,67%,87%,73%,45%,27%,12%,6
4.6,1.3,Minnesota,NFC North,9.6,6.4,0.0,23%,50%,33%,17%,9%,4%,6
4.4,1.5,Green Bay,NFC North,10.5,5.5,0.0,50%,70%,51%,28%,14%,6%,6
4.1,-0.3,LA Rams,NFC West,9.8,6.2,0.0,18%,54%,33%,16%,9%,4%,6
3.1,1.2,Houston,AFC South,8.8,7.2,0.0,36%,52%,34%,15%,6%,3%,6
3.0,0.0,Baltimore,AFC North,9.3,6.7,0.0,56%,65%,43%,17%,6%,3%,6
2.9,1.1,Philadelphia,NFC East,9.6,6.4,0.0,56%,63%,42%,19%,9%,4%,6
2.5,-0.5,Chicago,NFC North,8.7,7.3,0.0,15%,35%,21%,10%,5%,2%,6
2.4,0.5,Carolina,NFC South,9.0,7.0,0.0,32%,41%,26%,12%,6%,2%,6
2.4,-1.3,Tennessee,AFC South,7.9,8.1,0.0,16%,28%,17%,7%,3%,1%,6
2.0,0.2,New Orleans,NFC South,9.8,6.2,0.0,51%,61%,41%,19%,8%,3%,6
2.0,-1.3,Dallas,NFC East,8.8,7.2,0.0,41%,48%,29%,12%,5%,2%,6
1.5,-1.3,LA Chargers,AFC West,7.2,8.8,0.0,9%,20%,11%,4%,2%,1%,6
1.1,0.1,Seattle,NFC West,9.2,6.8,0.0,14%,39%,22%,10%,4%,2%,6
0.9,-0.2,Jacksonville,AFC South,8.0,8.0,0.0,19%,32%,18%,6%,2%,1%,6
0.4,1.3,Indianapolis,AFC South,8.7,7.3,0.0,30%,44%,26%,9%,3%,1%,6
0.3,1.2,Buffalo,AFC East,10.4,5.6,0.0,6%,78%,32%,9%,3%,1%,6
0.1,0.0,Tampa Bay,NFC South,7.5,8.5,0.0,13%,19%,10%,4%,2%,1%,6
-0.4,0.0,Pittsburgh,AFC North,7.0,9.0,0.0,13%,21%,11%,3%,1%,0%,6
-0.6,-0.1,Detroit,NFC North,7.7,7.3,1.0,12%,24%,14%,6%,2%,1%,6
-0.9,-2.2,Cleveland,AFC North,8.0,8.0,0.0,30%,39%,21%,6%,2%,1%,6
-1.6,1.5,Denver,AFC West,5.5,10.5,0.0,3%,6%,3%,1%,0%,0%,6
-2.1,-1.3,Atlanta,NFC South,5.6,10.4,0.0,4%,5%,3%,1%,0%,0%,6
-2.6,1.2,Oakland,AFC West,7.6,8.4,0.0,8%,23%,10%,3%,1%,0%,6
-6.2,-1.2,NY Giants,NFC East,6.1,9.9,0.0,4%,5%,2%,0%,0%,0%,6
-6.4,-1.5,NY Jets,AFC East,5.1,10.9,0.0,0%,2%,1%,0%,0%,0%,6
-7.1,0.5,Arizona,NFC West,4.1,10.9,1.0,0%,1%,0%,0%,0%,0%,6
-7.9,-0.3,Cincinnati,AFC North,3.6,12.4,0.0,1%,1%,0%,0%,0%,0%,6
-9.1,-1.2,Washington,NFC East,3.2,12.8,0.0,0%,0%,0%,0%,0%,0%,6
-16.8,-0.1,Miami,AFC East,2.0,14.0,0.0,0%,0%,0%,0%,0%,0%,6
11.6,0.1,New England,AFC East,14.0,2.0,0.0,95%,100%,97%,77%,56%,36%,7
8.0,1.7,San Francisco,NFC West,13.0,3.0,0.0,83%,95%,86%,58%,37%,18%,7
5.6,1.0,Minnesota,NFC North,10.3,5.7,0.0,30%,62%,43%,23%,12%,5%,7
5.5,-1.2,Kansas City,AFC West,10.0,6.0,0.0,72%,79%,61%,32%,13%,6%,7
4.2,1.0,Houston,AFC South,9.9,6.1,0.0,59%,74%,56%,28%,11%,5%,7
3.9,-0.5,Green Bay,NFC North,10.6,5.4,0.0,48%,72%,51%,26%,12%,5%,7
3.1,-1.0,LA Rams,NFC West,8.9,7.1,0.0,4%,32%,17%,7%,3%,1%,7
3.0,0.6,Carolina,NFC South,9.6,6.4,0.0,37%,52%,34%,16%,7%,3%,7
2.7,0.7,New Orleans,NFC South,10.6,5.4,0.0,58%,70%,49%,24%,10%,4%,7
2.6,0.1,Chicago,NFC North,8.8,7.2,0.0,14%,34%,21%,10%,5%,2%,7
2.4,-0.7,Baltimore,AFC North,9.2,6.8,0.0,57%,65%,45%,18%,6%,3%,7
1.8,-1.1,Philadelphia,NFC East,9.0,7.0,0.0,57%,60%,34%,12%,5%,2%,7
1.7,0.6,Seattle,NFC West,9.8,6.2,0.0,14%,48%,26%,11%,5%,2%,7
1.3,-0.7,Dallas,NFC East,8.0,8.0,0.0,37%,39%,22%,7%,3%,1%,7
0.8,-1.5,Tennessee,AFC South,6.9,9.1,0.0,7%,15%,8%,3%,1%,0%,7
0.8,1.2,Pittsburgh,AFC North,8.0,8.0,0.0,24%,38%,22%,7%,2%,1%,7
0.7,-0.8,LA Chargers,AFC West,6.4,9.6,0.0,8%,12%,7%,2%,1%,0%,7
0.3,0.0,Buffalo,AFC East,10.4,5.6,0.0,5%,80%,32%,9%,3%,1%,7
0.2,-0.7,Jacksonville,AFC South,7.3,8.7,0.0,9%,23%,11%,4%,1%,1%,7
0.0,-0.4,Indianapolis,AFC South,8.5,7.5,0.0,26%,43%,25%,10%,3%,1%,7
-0.1,0.4,Detroit,NFC North,7.5,7.5,1.0,8%,19%,10%,4%,2%,1%,7
-0.4,1.2,Denver,AFC West,6.4,9.6,0.0,7%,13%,7%,2%,1%,0%,7
-0.4,-0.5,Tampa Bay,NFC South,6.9,9.1,0.0,3%,7%,4%,1%,0%,0%,7
-1.4,-0.5,Cleveland,AFC North,7.2,8.8,0.0,18%,25%,13%,4%,1%,0%,7
-2.4,-0.3,Atlanta,NFC South,4.9,11.1,0.0,1%,2%,1%,0%,0%,0%,7
-2.5,0.1,Oakland,AFC West,7.6,8.4,0.0,13%,27%,13%,4%,1%,0%,7
-6.1,0.3,NY Jets,AFC East,5.8,10.2,0.0,0%,5%,1%,0%,0%,0%,7
-6.3,-0.1,NY Giants,NFC East,6.1,9.9,0.0,6%,6%,2%,1%,0%,0%,7
-6.7,0.4,Arizona,NFC West,4.7,10.3,1.0,0%,1%,0%,0%,0%,0%,7
-6.9,1.0,Cincinnati,AFC North,3.7,12.3,0.0,0%,1%,0%,0%,0%,0%,7
-9.7,-0.5,Washington,NFC East,3.4,12.6,0.0,0%,0%,0%,0%,0%,0%,7
-17.2,-0.4,Miami,AFC East,1.5,14.5,0.0,0%,0%,0%,0%,0%,0%,7
12.8,1.2,New England,AFC East,14.3,1.7,0.0,98%,100%,98%,80%,60%,40%,8
7.7,-0.3,San Francisco,NFC West,13.0,3.0,0.0,86%,96%,86%,56%,34%,16%,8
7.1,1.6,Kansas City,AFC West,10.8,5.2,0.0,90%,93%,78%,44%,17%,9%,8
5.8,0.2,Minnesota,NFC North,10.8,5.2,0.0,38%,72%,48%,25%,13%,5%,8
4.9,1.8,LA Rams,NFC West,9.7,6.3,0.0,7%,49%,26%,12%,6%,2%,8
4.2,0.3,Green Bay,NFC North,11.0,5.0,0.0,54%,78%,55%,28%,13%,5%,8
3.9,1.3,New Orleans,NFC South,11.5,4.5,0.0,70%,85%,65%,33%,15%,6%,8
3.9,1.5,Baltimore,AFC North,10.1,5.9,0.0,71%,81%,58%,24%,8%,4%,8
3.7,-0.5,Houston,AFC South,9.2,6.8,0.0,40%,62%,41%,16%,5%,3%,8
3.3,0.3,Carolina,NFC South,9.7,6.3,0.0,28%,49%,31%,14%,6%,2%,8
3.2,1.9,Dallas,NFC East,9.0,7.0,0.0,66%,68%,39%,14%,6%,2%,8
1.4,-1.2,Chicago,NFC North,7.9,8.1,0.0,5%,16%,8%,3%,1%,1%,8
0.9,0.1,Pittsburgh,AFC North,8.0,8.0,0.0,16%,35%,18%,6%,2%,1%,8
0.8,-0.9,Seattle,NFC West,9.1,6.9,0.0,8%,33%,16%,6%,2%,1%,8
0.7,0.5,Jacksonville,AFC South,7.9,8.1,0.0,15%,29%,15%,4%,1%,1%,8
0.6,-0.1,LA Chargers,AFC West,6.0,10.0,0.0,3%,6%,3%,1%,0%,0%,8
0.6,0.5,Indianapolis,AFC South,9.2,6.8,0.0,38%,56%,34%,12%,3%,1%,8
0.6,-0.3,Tennessee,AFC South,7.2,8.8,0.0,7%,16%,9%,3%,1%,0%,8
-0.2,0.2,Tampa Bay,NFC South,7.1,8.9,0.0,2%,8%,4%,1%,0%,0%,8
-0.2,-2.0,Philadelphia,NFC East,8.1,7.9,0.0,30%,33%,16%,5%,2%,0%,8
-0.6,-0.9,Buffalo,AFC East,10.2,5.8,0.0,2%,77%,26%,5%,2%,1%,8
-0.9,-0.8,Detroit,NFC North,6.9,8.1,1.0,3%,9%,4%,2%,1%,0%,8
-1.4,0.0,Cleveland,AFC North,7.2,8.8,0.0,13%,21%,11%,3%,1%,0%,8
-2.0,-1.7,Denver,AFC West,5.7,10.3,0.0,1%,4%,2%,0%,0%,0%,8
-3.3,-0.8,Oakland,AFC West,7.3,8.7,0.0,6%,19%,7%,2%,0%,0%,8
-4.3,-1.9,Atlanta,NFC South,4.0,12.0,0.0,0%,0%,0%,0%,0%,0%,8
-6.2,0.5,Arizona,NFC West,5.3,9.7,1.0,0%,1%,0%,0%,0%,0%,8
-6.7,-0.5,NY Giants,NFC East,5.4,10.6,0.0,3%,4%,1%,0%,0%,0%,8
-7.4,-0.4,Cincinnati,AFC North,3.1,12.9,0.0,0%,0%,0%,0%,0%,0%,8
-7.5,-1.4,NY Jets,AFC East,5.3,10.7,0.0,0%,2%,0%,0%,0%,0%,8
-9.2,0.5,Washington,NFC East,3.4,12.6,0.0,0%,0%,0%,0%,0%,0%,8
-16.0,1.3,Miami,AFC East,1.7,14.3,0.0,0%,0%,0%,0%,0%,0%,8
12.6,-0.3,New England,AFC East,14.4,1.6,0.0,99%,100%,99%,81%,62%,39%,9
9.9,2.3,San Francisco,NFC West,13.7,2.3,0.0,92%,99%,93%,66%,44%,23%,9
6.1,-0.9,Kansas City,AFC West,10.0,6.0,0.0,83%,86%,68%,34%,13%,6%,9
5.4,-0.4,Minnesota,NFC North,10.7,5.3,0.0,26%,73%,44%,20%,9%,4%,9
5.2,1.0,Green Bay,NFC North,11.8,4.2,0.0,71%,91%,69%,36%,16%,6%,9
5.1,0.2,LA Rams,NFC West,9.9,6.1,0.0,3%,52%,26%,10%,5%,2%,9
4.5,0.6,New Orleans,NFC South,11.9,4.1,0.0,85%,92%,72%,36%,15%,6%,9
3.8,-0.1,Baltimore,AFC North,10.1,5.9,0.0,72%,81%,61%,27%,9%,4%,9
3.5,0.4,Dallas,NFC East,9.0,7.0,0.0,58%,62%,35%,12%,5%,2%,9
3.0,-0.7,Houston,AFC South,9.3,6.7,0.0,36%,64%,41%,17%,5%,2%,9
1.3,1.5,Philadelphia,NFC East,8.9,7.1,0.0,40%,45%,23%,7%,2%,1%,9
